Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
AIB,ADF,AIB,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIN,ADF,AIN,ADF,0.0366978207379685,0.0,0.0,0.0,0.0,0.0164117643592398,0.0,-0.654872988516374,-0.7071067811865475,0.2303728030659723,0.1816901138162092,variable,Y
AIY,ADF,AIY,ADF,0.1113484678329421,0.0294674091286225,0.0,0.0,0.0018470698273517,0.0479574756402613,0.0018470698273517,-0.7385801905676193,-0.6668859288553501,0.1540040826783834,0.2188939813132316,developmentally dynamic (weakened),Y
AVA,ADF,AVA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AVB,ADF,AVB,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVD,ADF,AVD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVE,ADF,AVE,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVJ,ADF,AVJ,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
BDU,ADF,BDU,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PVC,ADF,PVC,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVP,ADF,PVP,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PVR,ADF,PVR,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVT,ADF,PVT,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIA,ADF,RIA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIB,ADF,RIB,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIF,ADF,RIF,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIG,ADF,RIG,ADF,0.0,0.0,0.0,0.0,0.004540073937816,0.0020303827895663,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
RIH,ADF,RIH,ADF,0.0,0.0,0.0076802730384989,0.0,0.0,0.0034347225199684,0.0,-0.0351298263070524,0.0,0.9552805176298372,1.0,variable,Y
RIM,ADF,RIM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIP,ADF,RIP,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIR,ADF,RIR,ADF,0.0087452724539712,0.0,0.0,0.0782452345653128,0.0189401869445355,0.0328377253294046,0.0087452724539712,0.2475840323721304,0.5642880936468347,0.6880170249818252,0.3217233358243002,developmentally dynamic (strengthened),Y
IL1D,ADF,IL1D,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL1L/R,ADF,IL1L/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL1V,ADF,IL1V,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIV,ADF,RIV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDD,ADF,RMDD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDL/R,ADF,RMDL/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDV,ADF,RMDV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMED/V,ADF,RMED/V,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RMEL/R,ADF,RMEL/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMF,ADF,RMF,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RMH,ADF,RMH,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SIAD,ADF,SIAD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIAV,ADF,SIAV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIBD,ADF,SIBD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIBV,ADF,SIBV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMBD,ADF,SMBD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMBV,ADF,SMBV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMDD,ADF,SMDD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SMDV,ADF,SMDV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URAD,ADF,URAD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URAV,ADF,URAV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ADE,ADF,ADE,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AIM,ADF,AIM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ALA,ADF,ALA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AVF,ADF,AVF,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVH,ADF,AVH,ADF,0.052956678677144,0.0510051313871887,0.0996454469704852,0.1872284874702524,0.0710886524087711,0.0564987205057264,0.0200835210215824,0.2180851972999215,0.6,0.7245423668324797,0.2847569798652937,stable,Y
AVK,ADF,AVK,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AVL,ADF,AVL,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
CEPD,ADF,CEPD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
CEPV,ADF,CEPV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
DVC,ADF,DVC,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
HSN,ADF,HSN,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PVN,ADF,PVN,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVQ,ADF,PVQ,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIC,ADF,RIC,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RID,ADF,RID,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIS,ADF,RIS,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RMG,ADF,RMG,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ADF,ADL,ADF,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ADL,ADL,ADL,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AFD,ADL,AFD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ALM,ADL,ALM,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ALN,ADL,ALN,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AQR,ADL,AQR,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASE,ADL,ASE,ADL,0.000598630012379,0.0,0.0,0.0,0.0180121520360126,0.0079925549289574,0.0,0.844497823671724,0.2236067977499789,0.071868722251985,0.7176856442107861,variable,Y
ASG,ADL,ASG,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASH,ADL,ASH,ADL,0.0,0.0,0.0085665211990283,0.0,0.0225849237781128,0.0098663767752376,0.0,0.8664268788636041,0.6708203932499368,0.0574134764877504,0.21516994256955,developmentally dynamic (strengthened),Y
ASI,ADL,ASI,ADL,0.0130115388574164,0.0,0.0,0.0,0.0,0.0058189370754126,0.0,-0.654872988516374,-0.7071067811865475,0.2303728030659723,0.1816901138162092,variable,Y
ASJ,ADL,ASJ,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AUA,ADL,AUA,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AVM,ADL,AVM,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AWB,ADL,AWB,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AWC,ADL,AWC,ADL,0.0159940193901933,0.0073795640225774,0.0080934367805232,0.0,0.0,0.0066658770684826,0.0073795640225774,-0.8540284021197915,-0.8720815992723809,0.0654622736464753,0.0538542177275421,variable,Y
BAG,ADL,BAG,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
DVA,ADL,DVA,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
FLP,ADL,FLP,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2D,ADL,IL2D,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL2L/R,ADL,IL2L/R,ADL,0.0,0.0,0.0,0.0,0.008400551531541,0.0037568408546031,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
IL2V,ADL,IL2V,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
OLL,ADL,OLL,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
OLQD,ADL,OLQD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
OLQV,ADL,OLQV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PLN,ADL,PLN,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SAAD,ADL,SAAD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SAAV,ADL,SAAV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SDQ,ADL,SDQ,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URB,ADL,URB,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URX,ADL,URX,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URYD,ADL,URYD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URYV,ADL,URYV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ADA,ADL,ADA,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIA,ADL,AIA,ADL,0.0,0.0405905103452318,0.0,0.0020878222741422,0.0293051966582147,0.0191990714987725,0.0020878222741422,0.3390183617884459,0.3077935056255462,0.5767657008011876,0.614384002810333,developmentally dynamic (strengthened),Y
AIB,ADL,AIB,ADL,0.0,0.0,0.0,0.0,0.0025982776002313,0.0011619850677064,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
AIN,ADL,AIN,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIY,ADL,AIY,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIZ,ADL,AIZ,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVA,ADL,AVA,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVB,ADL,AVB,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVD,ADL,AVD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVE,ADL,AVE,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVJ,ADL,AVJ,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
BDU,ADL,BDU,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVC,ADL,PVC,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PVP,ADL,PVP,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PVR,ADL,PVR,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVT,ADL,PVT,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIA,ADL,RIA,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIB,ADL,RIB,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIF,ADL,RIF,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIG,ADL,RIG,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIH,ADL,RIH,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIM,ADL,RIM,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIP,ADL,RIP,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIR,ADL,RIR,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL1D,ADL,IL1D,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL1L/R,ADL,IL1L/R,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL1V,ADL,IL1V,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIV,ADL,RIV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RMDD,ADL,RMDD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDL/R,ADL,RMDL/R,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDV,ADL,RMDV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMED/V,ADL,RMED/V,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMEL/R,ADL,RMEL/R,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMF,ADL,RMF,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RMH,ADL,RMH,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SIAD,ADL,SIAD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIAV,ADL,SIAV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIBD,ADL,SIBD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIBV,ADL,SIBV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMBD,ADL,SMBD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SMBV,ADL,SMBV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMDD,ADL,SMDD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMDV,ADL,SMDV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URAD,ADL,URAD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URAV,ADL,URAV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ADE,ADL,ADE,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIM,ADL,AIM,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ALA,ADL,ALA,ADL,0.0,0.0,0.0,0.0,0.0261549412727913,0.0116968453266952,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
AVF,ADL,AVF,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVH,ADL,AVH,ADL,0.0384174352474155,0.0119145125981462,0.0091040486092204,0.0036610844140301,0.0226395064494227,0.0137526084151738,0.0082534281841161,-0.2875074417362999,-0.3999999999999999,0.6390418100982886,0.5046315754686911,variable,Y
AVK,ADL,AVK,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AVL,ADL,AVL,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
CEPD,ADL,CEPD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
CEPV,ADL,CEPV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
DVC,ADL,DVC,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
HSN,ADL,HSN,ADL,0.0,0.0,0.0,0.0,0.0034461543271627,0.0015411670672981,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,post-embryonic brain integration,Y
PVN,ADL,PVN,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVQ,ADL,PVQ,ADL,0.0,0.0,0.0,0.0511988549271023,0.0096435860793554,0.0222146402896353,0.0,0.2673269287087109,0.7826237921249264,0.6637274200660673,0.117613760873458,variable,Y
RIC,ADL,RIC,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RID,ADL,RID,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIS,ADL,RIS,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMG,ADL,RMG,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ADF,AFD,ADF,AFD,0.0,0.0672746581097672,0.0135346613125335,0.0,0.0,0.0291677795672381,0.0,-0.2828197545764898,-0.3354101966249684,0.6447625316038964,0.5810906728217108,variable,Y
ADL,AFD,ADL,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AFD,AFD,AFD,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ALM,AFD,ALM,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ALN,AFD,ALN,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AQR,AFD,AQR,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ASE,AFD,ASE,AFD,0.0807245785786436,0.0567750419621118,0.091953868143971,0.0520209030357404,0.0376465036532806,0.0220860887227678,0.0191285383088311,-0.6849613652868991,-0.7,0.2019338327772949,0.1881204043741873,stable,Y
ASG,AFD,ASG,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASH,AFD,ASH,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASI,AFD,ASI,AFD,0.0,0.0,0.0160192966586869,0.0046615144498211,0.0054106125093007,0.0065473245079559,0.0046615144498211,0.3102999446564898,0.6668859288553501,0.6113489305276399,0.2188939813132316,variable,Y
ASJ,AFD,ASJ,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ASK,AFD,ASK,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AUA,AFD,AUA,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVM,AFD,AVM,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AWB,AFD,AWB,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AWC,AFD,AWC,AFD,0.0,0.0,0.0,0.0,0.0259827112541859,0.0116198217208217,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
BAG,AFD,BAG,AFD,0.0,0.0,0.0,0.0,0.0088413567821672,0.0039539749556509,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
DVA,AFD,DVA,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
FLP,AFD,FLP,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2D,AFD,IL2D,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL2L/R,AFD,IL2L/R,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL2V,AFD,IL2V,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
OLL,AFD,OLL,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
OLQD,AFD,OLQD,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
OLQV,AFD,OLQV,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PLN,AFD,PLN,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SAAD,AFD,SAAD,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SAAV,AFD,SAAV,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SDQ,AFD,SDQ,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URB,AFD,URB,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URX,AFD,URX,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URYD,AFD,URYD,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URYV,AFD,URYV,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ADA,AFD,ADA,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AIA,AFD,AIA,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIB,AFD,AIB,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIN,AFD,AIN,AFD,0.3197302938282613,0.3999111660425077,0.407574160429544,0.1573584702391256,0.2970357246102426,0.1012016380079888,0.0801808722142463,-0.2644120738743026,-0.4999999999999999,0.6673051534478531,0.3910022189557705,stable,Y
AIY,AFD,AIY,AFD,0.0,0.0214197047718456,0.0044254622887727,0.0111613920316778,0.0117997634664147,0.0081515049927839,0.006735929742905,0.293764138560999,0.3999999999999999,0.6314194252302966,0.5046315754686911,variable,Y
AIZ,AFD,AIZ,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,variable,Y
AVA,AFD,AVA,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
