Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
OLQV,ADF,OLQV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PLN,ADF,PLN,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SAAD,ADF,SAAD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SAAV,ADF,SAAV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SDQ,ADF,SDQ,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URB,ADF,URB,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URX,ADF,URX,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URYD,ADF,URYD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URYV,ADF,URYV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ADA,ADF,ADA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIA,ADF,AIA,ADF,0.8247986722383686,0.0,0.8771784559995209,0.0,0.0,0.4664733819809283,0.0,-0.5473799291925905,-0.4472135954999578,0.3396190909612924,0.4501848557521009,variable,Y
AIB,ADF,AIB,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIN,ADF,AIN,ADF,2.916371241683604,0.0,0.0,0.0,0.0,1.3042408688060012,0.0,-0.654872988516374,-0.7071067811865475,0.2303728030659723,0.1816901138162092,variable,Y
AIY,ADF,AIY,ADF,6.312150550525085,1.3506456917676428,0.0,0.0,0.0975626639275567,2.721781253145941,0.0975626639275567,-0.7246965733083097,-0.6668859288553501,0.1660540369821078,0.2188939813132316,developmentally dynamic (weakened),Y
AVA,ADF,AVA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AVB,ADF,AVB,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVD,ADF,AVD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVE,ADF,AVE,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVJ,ADF,AVJ,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
BDU,ADF,BDU,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PVC,ADF,PVC,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVP,ADF,PVP,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PVR,ADF,PVR,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVT,ADF,PVT,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIA,ADF,RIA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIB,ADF,RIB,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIF,ADF,RIF,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIG,ADF,RIG,ADF,0.0,0.0,0.0,0.0,0.2775223737794451,0.1241117786095889,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
RIH,ADF,RIH,ADF,0.0,0.0,0.2806499783541606,0.0,0.0,0.1255104858967495,0.0,-0.0351298263070524,0.0,0.9552805176298372,1.0,variable,Y
RIM,ADF,RIM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIP,ADF,RIP,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIR,ADF,RIR,ADF,0.9241263352764454,0.0,0.0,7.520661987512718,2.113103988314832,3.1458606401439853,0.9241263352764454,0.2763864764512291,0.5642880936468347,0.6526269230475951,0.3217233358243002,developmentally dynamic (strengthened),Y
IL1D,ADF,IL1D,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL1L/R,ADF,IL1L/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL1V,ADF,IL1V,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIV,ADF,RIV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDD,ADF,RMDD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDL/R,ADF,RMDL/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDV,ADF,RMDV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMED/V,ADF,RMED/V,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RMEL/R,ADF,RMEL/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMF,ADF,RMF,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RMH,ADF,RMH,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SIAD,ADF,SIAD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIAV,ADF,SIAV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIBD,ADF,SIBD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIBV,ADF,SIBV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMBD,ADF,SMBD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMBV,ADF,SMBV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMDD,ADF,SMDD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SMDV,ADF,SMDV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URAD,ADF,URAD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URAV,ADF,URAV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ADE,ADF,ADE,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AIM,ADF,AIM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ALA,ADF,ALA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AVF,ADF,AVF,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVH,ADF,AVH,ADF,15.69162809909587,9.83745080243241,19.73216317971336,30.569409008584135,11.871231062596529,8.207492947021588,4.040535080617486,-0.0224982165242933,0.1999999999999999,0.9713567978097196,0.747060078104662,stable,Y
AVK,ADF,AVK,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AVL,ADF,AVL,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
CEPD,ADF,CEPD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
CEPV,ADF,CEPV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
DVC,ADF,DVC,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
HSN,ADF,HSN,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PVN,ADF,PVN,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVQ,ADF,PVQ,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIC,ADF,RIC,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RID,ADF,RID,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIS,ADF,RIS,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RMG,ADF,RMG,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ADF,ADL,ADF,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ADL,ADL,ADL,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AFD,ADL,AFD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ALM,ADL,ALM,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ALN,ADL,ALN,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AQR,ADL,AQR,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASE,ADL,ASE,ADL,0.0341033048295808,0.0,0.0,0.0,1.2763360619443345,0.5671742482742202,0.0,0.8475646615772285,0.2236067977499789,0.069786943075597,0.7176856442107861,variable,Y
ASG,ADL,ASG,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASH,ADL,ASH,ADL,0.0,0.0,0.36829802662921,0.0,1.056300068051487,0.459760079800044,0.0,0.8707207770448324,0.6708203932499368,0.0547042058614897,0.21516994256955,developmentally dynamic (strengthened),Y
ASI,ADL,ASI,ADL,7.118943821515767,0.0,0.0,0.0,0.0,3.183688462582277,0.0,-0.654872988516374,-0.7071067811865475,0.2303728030659723,0.1816901138162092,variable,Y
ASJ,ADL,ASJ,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AUA,ADL,AUA,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AVM,ADL,AVM,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AWB,ADL,AWB,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AWC,ADL,AWC,ADL,0.752059546507398,0.3864896556949173,0.479084519363966,0.0,0.0,0.3244772799120979,0.3655698908124807,-0.844283255038303,-0.8720815992723809,0.072015081707572,0.0538542177275421,variable,Y
BAG,ADL,BAG,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
DVA,ADL,DVA,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
FLP,ADL,FLP,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2D,ADL,IL2D,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL2L/R,ADL,IL2L/R,ADL,0.0,0.0,0.0,0.0,0.595103493846732,0.2661383731777841,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
IL2V,ADL,IL2V,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
OLL,ADL,OLL,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
OLQD,ADL,OLQD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
OLQV,ADL,OLQV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PLN,ADL,PLN,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SAAD,ADL,SAAD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SAAV,ADL,SAAV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SDQ,ADL,SDQ,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URB,ADL,URB,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URX,ADL,URX,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URYD,ADL,URYD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URYV,ADL,URYV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ADA,ADL,ADA,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIA,ADL,AIA,ADL,0.0,2.126948345877258,0.0,0.173831083637509,2.18350169405996,1.151091951212151,0.173831083637509,0.5151346996443448,0.6155870112510925,0.3743991571027858,0.2689977701158222,developmentally dynamic (strengthened),Y
AIB,ADL,AIB,ADL,0.0,0.0,0.0,0.0,0.1272232080443593,0.0568959483005571,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
AIN,ADL,AIN,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIY,ADL,AIY,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIZ,ADL,AIZ,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVA,ADL,AVA,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVB,ADL,AVB,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVD,ADL,AVD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVE,ADL,AVE,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVJ,ADL,AVJ,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
BDU,ADL,BDU,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVC,ADL,PVC,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PVP,ADL,PVP,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PVR,ADL,PVR,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVT,ADL,PVT,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIA,ADL,RIA,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIB,ADL,RIB,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIF,ADL,RIF,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIG,ADL,RIG,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIH,ADL,RIH,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIM,ADL,RIM,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIP,ADL,RIP,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIR,ADL,RIR,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL1D,ADL,IL1D,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL1L/R,ADL,IL1L/R,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL1V,ADL,IL1V,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIV,ADL,RIV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RMDD,ADL,RMDD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDL/R,ADL,RMDL/R,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDV,ADL,RMDV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMED/V,ADL,RMED/V,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMEL/R,ADL,RMEL/R,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMF,ADL,RMF,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RMH,ADL,RMH,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SIAD,ADL,SIAD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIAV,ADL,SIAV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIBD,ADL,SIBD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIBV,ADL,SIBV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMBD,ADL,SMBD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SMBV,ADL,SMBV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMDD,ADL,SMDD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMDV,ADL,SMDV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URAD,ADL,URAD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URAV,ADL,URAV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ADE,ADL,ADE,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIM,ADL,AIM,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ALA,ADL,ALA,ADL,0.0,0.0,0.0,0.0,13.443470557245632,6.012102803903642,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
AVF,ADL,AVF,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVH,ADL,AVH,ADL,12.155442710041228,2.297973328006462,1.8028176722052445,0.5977572557446453,3.7806148111914544,4.630836625922308,1.4826414831849926,-0.5146421585079305,-0.3999999999999999,0.3749367626726418,0.5046315754686911,variable,Y
AVK,ADL,AVK,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AVL,ADL,AVL,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
CEPD,ADL,CEPD,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
CEPV,ADL,CEPV,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
DVC,ADL,DVC,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
HSN,ADL,HSN,ADL,0.0,0.0,0.0,0.0,1.537489597015611,0.6875862507251328,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,post-embryonic brain integration,Y
PVN,ADL,PVN,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVQ,ADL,PVQ,ADL,0.0,0.0,0.0,6.791375225343723,1.905501993075252,2.942217727606816,0.0,0.3495753415923143,0.7826237921249264,0.564146018001754,0.117613760873458,variable,Y
RIC,ADL,RIC,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RID,ADL,RID,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIS,ADL,RIS,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMG,ADL,RMG,ADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ADF,AFD,ADF,AFD,0.0,3.5659256414175866,0.7759966587122141,0.0,0.0,1.5449545820491823,0.0,-0.2836164355419044,-0.3354101966249684,0.6437896985904403,0.5810906728217108,variable,Y
ADL,AFD,ADL,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AFD,AFD,AFD,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ALM,AFD,ALM,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ALN,AFD,ALN,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AQR,AFD,AQR,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ASE,AFD,ASE,AFD,3.4735715777449285,3.321076463616326,4.219009401000619,2.8594341771055665,2.6676207330880355,0.6059743953830875,0.4616422865107594,-0.5447650457589539,-0.7,0.342408231385066,0.1881204043741873,stable,Y
ASG,AFD,ASG,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASH,AFD,ASH,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASI,AFD,ASI,AFD,0.0,0.0,3.9428835037189662,0.7092320140748959,0.9842376398461008,1.632817252622757,0.7092320140748959,0.2127384807718342,0.6668859288553501,0.7311901878091159,0.2188939813132316,variable,Y
ASJ,AFD,ASJ,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ASK,AFD,ASK,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AUA,AFD,AUA,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVM,AFD,AVM,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AWB,AFD,AWB,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AWC,AFD,AWC,AFD,0.0,0.0,0.0,0.0,1.5931457204939974,0.7124764258174917,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
BAG,AFD,BAG,AFD,0.0,0.0,0.0,0.0,0.5719785708469287,0.2557965932173824,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
DVA,AFD,DVA,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
FLP,AFD,FLP,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2D,AFD,IL2D,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL2L/R,AFD,IL2L/R,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL2V,AFD,IL2V,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
OLL,AFD,OLL,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
OLQD,AFD,OLQD,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
OLQV,AFD,OLQV,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PLN,AFD,PLN,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SAAD,AFD,SAAD,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SAAV,AFD,SAAV,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SDQ,AFD,SDQ,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URB,AFD,URB,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URX,AFD,URX,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URYD,AFD,URYD,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URYV,AFD,URYV,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ADA,AFD,ADA,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AIA,AFD,AIA,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIB,AFD,AIB,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIN,AFD,AIN,AFD,25.520974201652937,30.117002528715105,40.57745607115911,15.22769529739329,27.291311363490884,9.11226300298504,2.825691165224221,-0.0607399634218397,-0.0999999999999999,0.9227110564720012,0.8728885715695383,stable,Y
AIY,AFD,AIY,AFD,0.0,0.9817772523790432,0.1933297637012983,0.6980984766096939,0.623266289368734,0.3970488161444546,0.3585109630103092,0.3770887344075565,0.3,0.5315102826484817,0.6238376647810728,variable,Y
AIZ,AFD,AIZ,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,variable,Y
